steps,energy_drift,energy_initial,energy_final
50,2.041182304356314E-6,-0.14886278132775582,-0.14886308518383085
100,2.514794774357075E-6,-0.14886278132775582,-0.1488631556871004
200,6.413250014445819E-7,-0.14886278132775582,-0.14886287679717927
500,1.3566557742894326E-6,-0.14886278132775582,-0.1488629832833077
1000,1.6378880423275642E-6,-0.14886278132775582,-0.1488630251483253
1500,1.8812445002474248E-6,-0.14886278132775582,-0.1488630613750445
